file,category,physical_id,capture_condition,is_anomaly,image_score,image_detected,tp,fp,fn,tn,dice,iou,precision,recall
S03_B4_072,smudge,S03,B4,1,0.020960433408617973,0,4,114,46,50012,0.047619047619047616,0.024390243902439025,0.03389830508474576,0.08
S03_B5_075,smudge,S03,B5,1,0.025765251368284225,0,16,168,106,49886,0.10457516339869281,0.05517241379310345,0.08695652173913043,0.13114754098360656
T01_B1_076,tear,T01,B1,1,0.0707312598824501,1,2336,71,1793,45976,0.7148102815177478,0.5561904761904762,0.9705027004570004,0.565754419956406
T01_B2_079,tear,T01,B2,1,0.05112133547663689,1,1351,32,2778,46015,0.4902031930333817,0.3246815669310262,0.9768618944323934,0.3271978687333495
T01_B5_088,tear,T01,B5,1,0.019354846328496933,0,10,38,4119,46009,0.004788125448886761,0.0023998080153587713,0.20833333333333334,0.002421893921046258
T02_B1_077,tear,T02,B1,1,0.047862567007541656,1,516,119,778,48763,0.5349922239502333,0.3651804670912951,0.8125984251968504,0.3987635239567233
T02_B2_080,tear,T02,B2,1,0.0401386059820652,1,529,157,765,48725,0.5343434343434343,0.3645761543762922,0.7711370262390671,0.4088098918083462
T02_B3_083,tear,T02,B3,1,0.055585842579603195,1,764,226,530,48656,0.6690017513134852,0.5026315789473684,0.7717171717171717,0.5904173106646059
T02_B4_086,tear,T02,B4,1,0.057445306330919266,1,630,358,664,48524,0.5521472392638037,0.3813559322033898,0.6376518218623481,0.4868624420401855
T02_B5_089,tear,T02,B5,1,0.024796001613140106,0,98,89,1196,48793,0.1323430114787306,0.07086044830079537,0.5240641711229946,0.07573415765069552
T03_B1_078,tear,T03,B1,1,0.054298292845487595,1,991,200,686,48299,0.6910739191073919,0.5279701651571657,0.8320738874895046,0.5909361955873583
T03_B2_081,tear,T03,B2,1,0.03849184885621071,1,444,138,1233,48361,0.3930942895086321,0.24462809917355371,0.7628865979381443,0.26475849731663686
T03_B3_084,tear,T03,B3,1,0.05786531791090965,1,944,68,733,48431,0.7021197471178877,0.540974212034384,0.932806324110672,0.5629099582587954
T03_B4_087,tear,T03,B4,1,0.0526176355779171,1,817,53,860,48446,0.6415390655673341,0.4722543352601156,0.9390804597701149,0.48717948717948717
T03_B5_090,tear,T03,B5,1,0.04582301899790764,1,651,842,1026,47657,0.4107255520504732,0.25843588725684796,0.43603482920294706,0.3881932021466905
