file,category,physical_id,capture_condition,is_anomaly,image_score,image_detected,primary_trigger,trigger_score,dice,iou,recall,tp,fp,fn,tn
M03_B4_102.png,missing_print,M03,B4,1,1.6249,1,text_missing,1.6249,0.1976,0.1096,0.1111,3926,476,31415,655133
M03_B5_105.png,missing_print,M03,B5,1,1.5291,1,text_missing,1.5291,0.1985,0.1102,0.1111,3926,284,31415,655325
S01_B1_061.png,smudge,S01,B1,1,2.08,1,barcode_smudge,2.08,0.1727,0.0945,0.2456,1914,12457,5880,670699
S01_B2_64.png,smudge,S01,B2,1,2.2,1,barcode_smudge,2.2,0.1569,0.0851,0.1942,1572,10372,6522,672484
S01_B3_067.png,smudge,S01,B3,1,1.72,1,barcode_smudge,1.72,0.1831,0.1008,0.2921,2441,15859,5917,666733
S01_B4_070.png,smudge,S01,B4,1,1.6,1,barcode_smudge,1.6,0.1675,0.0914,0.2328,1939,12890,6390,669731
S01_B5_073.png,smudge,S01,B5,1,1.68,1,barcode_smudge,1.68,0.148,0.0799,0.1911,1877,13665,7944,667464
S02_B1_62.png,smudge,S02,B1,1,1.935,1,margin,1.935,0.0579,0.0298,0.0303,425,238,13582,676705
S02_B2_65.png,smudge,S02,B2,1,2.0,1,margin,2.0,0.0533,0.0274,0.029,425,882,14224,675419
S02_B3_068.png,smudge,S02,B3,1,2.03,1,margin,2.03,0.0535,0.0275,0.0288,426,713,14356,675455
S02_B4_071.png,smudge,S02,B4,1,2.065,1,margin,2.065,0.0508,0.0261,0.0278,413,975,14458,675104
S02_B5_074.png,smudge,S02,B5,1,2.21,1,margin,2.21,0.0491,0.0252,0.0267,442,982,16127,673399
S03_B1_63.png,smudge,S03,B1,1,1.0549,1,text_smudge,1.0549,0.1459,0.0787,0.4297,532,5525,706,684187
S03_B2_66.png,smudge,S03,B2,1,1.0876,1,text_smudge,1.0876,0.0859,0.0449,0.2832,309,5791,782,684068
S03_B3_069.png,smudge,S03,B3,1,1.0454,1,text_smudge,1.0454,0.3529,0.2142,0.4301,864,2024,1145,686917
S03_B4_072.png,smudge,S03,B4,1,1.0927,1,text_smudge,1.0927,0.1976,0.1096,0.3277,388,2356,796,687410
S03_B5_075.png,smudge,S03,B5,1,1.3441,1,text_smudge,1.3441,0.1602,0.0871,0.2672,739,5721,2027,682463
T01_B1_076.png,tear,T01,B1,1,115.455,1,margin,115.455,0.6414,0.4721,0.4853,27803,1609,29484,632054
T01_B2_079.png,tear,T01,B2,1,73.73,1,margin,73.73,0.4865,0.3215,0.3308,18950,1660,38337,632003
T01_B5_088.png,tear,T01,B5,1,2.0,1,barcode_missing,2.0,0.3218,0.1918,0.1955,11200,1118,46087,632545
T02_B1_077.png,tear,T02,B1,1,25.39,1,margin,25.39,0.6769,0.5116,0.5641,14341,2606,11083,662920
T02_B2_080.png,tear,T02,B2,1,24.1,1,margin,24.1,0.6603,0.4928,0.5549,14107,3201,11317,662325
T02_B3_083.png,tear,T02,B3,1,25.415,1,margin,25.415,0.6818,0.5173,0.5621,14290,2202,11134,663324
T02_B4_086.png,tear,T02,B4,1,26.68,1,margin,26.68,0.5721,0.4007,0.4603,11703,3782,13721,661744
T02_B5_089.png,tear,T02,B5,1,1.1472,1,text_smudge,1.1472,0.3328,0.1996,0.2155,5480,2030,19944,663496
T03_B1_078.png,tear,T03,B1,1,32.89,1,margin,32.89,0.7415,0.5892,0.6155,10239,743,6396,673572
T03_B2_081.png,tear,T03,B2,1,26.5,1,margin,26.5,0.5975,0.426,0.5304,8823,4075,7812,670240
T03_B3_084.png,tear,T03,B3,1,29.695,1,margin,29.695,0.6533,0.4851,0.5751,9566,3085,7069,671230
T03_B4_087.png,tear,T03,B4,1,29.49,1,margin,29.49,0.5141,0.346,0.4971,8270,7266,8365,667049
T03_B5_090.png,tear,T03,B5,1,35.435,1,margin,35.435,0.5975,0.426,0.6157,10243,7408,6392,666907
